D:\Data\Install\2023-11-16\20231116-085401_La scala day--ESp_Cayman_iXPS-ESp_Cayman--1_1-Detector_Region.vms
Survey
	Characteristic Energy eV	1486.7	Acquisition Time s	0.1	Step Size eV	0.344322	No Steps	4096



KE_Survey	BE_Survey	Background_Survey
308.444	1178.26	2352.33
308.788	1177.91	2228.91
309.132	1177.57	2258.7
309.477	1177.22	2191.06
309.821	1176.88	2058.81
310.165	1176.53	2379.47
310.51	1176.19	2521.44
310.854	1175.85	2016.29
311.198	1175.5	1935.49
311.542	1175.16	2082.89
311.887	1174.81	2128.84
312.231	1174.47	1946.8
312.575	1174.12	1884.54
312.92	1173.78	1988.09
313.264	1173.44	1892.33
313.608	1173.09	2165.47
313.953	1172.75	1891.78
314.297	1172.4	2058.79
314.641	1172.06	2020.01
314.986	1171.71	1853.53
315.33	1171.37	2003.16
315.674	1171.03	1840.9
316.019	1170.68	1752.45
316.363	1170.34	1947.82
316.707	1169.99	1828.79
317.052	1169.65	1920.88
317.396	1169.3	1904.11
317.74	1168.96	2038.05
318.085	1168.62	2001.36
318.429	1168.27	1992.93
318.773	1167.93	1991.14
319.118	1167.58	2124.26
319.462	1167.24	2053.2
319.806	1166.89	1988.92
320.151	1166.55	1907.8
320.495	1166.21	1719.24
320.839	1165.86	1837.38
321.184	1165.52	1833.7
321.528	1165.17	1838.81
321.872	1164.83	1925.71
322.216	1164.48	1981.88
322.561	1164.14	1973.67
322.905	1163.79	1864.92
323.249	1163.45	1987.06
323.594	1163.11	1957.97
323.938	1162.76	2019.43
324.282	1162.42	1864.66
324.627	1162.07	2064.66
324.971	1161.73	2063.05
325.315	1161.38	2005.19
325.66	1161.04	1947.8
326.004	1160.7	2053.29
326.348	1160.35	1970.37
326.693	1160.01	1946.55
327.037	1159.66	1923.1
327.381	1159.32	2151.54
327.726	1158.97	2168.63
328.07	1158.63	2170.75
328.414	1158.29	2296.71
328.759	1157.94	2187.93
329.103	1157.6	2116.88
329.447	1157.25	2170.83
329.792	1156.91	2180.53
330.136	1156.56	2094.32
330.48	1156.22	2000.46
330.825	1155.88	2008.83
331.169	1155.53	1972.96
331.513	1155.19	1983.8
331.858	1154.84	2030.51
332.202	1154.5	1994.04
332.546	1154.15	2260.73
332.89	1153.81	2011.38
333.235	1153.47	1920.74
333.579	1153.12	2076.02
333.923	1152.78	2392.22
334.268	1152.43	2247.04
334.612	1152.09	2117.47
334.956	1151.74	2102.48
335.301	1151.4	2217.16
335.645	1151.05	2328.97
335.989	1150.71	2282.47
336.334	1150.37	2314.08
336.678	1150.02	1963.43
337.022	1149.68	2179.67
337.367	1149.33	2021.97
337.711	1148.99	2264.08
338.055	1148.64	2108.86
338.4	1148.3	2075.21
338.744	1147.96	2202.23
339.088	1147.61	2201.69
339.433	1147.27	2127.05
339.777	1146.92	2143.51
340.121	1146.58	2376.13
340.466	1146.23	2195.69
340.81	1145.89	2290.14
341.154	1145.55	2259.66
341.499	1145.2	2153.26
341.843	1144.86	2441.98
342.187	1144.51	2070.34
342.532	1144.17	2130.7
342.876	1143.82	2317.5
343.22	1143.48	2322.59
343.564	1143.14	2175.4
343.909	1142.79	2078.27
344.253	1142.45	2277.61
344.597	1142.1	2211.11
344.942	1141.76	2217.26
345.286	1141.41	2313.91
345.63	1141.07	2194.33
345.975	1140.73	2412.11
346.319	1140.38	2385.35
346.663	1140.04	2337.66
347.008	1139.69	2418.84
347.352	1139.35	2450.42
347.696	1139	2334.05
348.041	1138.66	2285.65
348.385	1138.32	2280.39
348.729	1137.97	2431.66
349.074	1137.63	2140.41
349.418	1137.28	2238.09
349.762	1136.94	2302.11
350.107	1136.59	2225.56
350.451	1136.25	2215.27
350.795	1135.9	2049.12
351.14	1135.56	2437.45
351.484	1135.22	2398.47
351.828	1134.87	2205.22
352.173	1134.53	2533.59
352.517	1134.18	2649.62
352.861	1133.84	2513.04
353.205	1133.49	2405.46
353.55	1133.15	2596.31
353.894	1132.81	2508.59
354.238	1132.46	2317.42
354.583	1132.12	2286.41
354.927	1131.77	2542.09
355.271	1131.43	2710.71
355.616	1131.08	2204.84
355.96	1130.74	2223.83
356.304	1130.4	2431.67
356.649	1130.05	2579.37
356.993	1129.71	2532.5
357.337	1129.36	2700.72
357.682	1129.02	2396.51
358.026	1128.67	2410
358.37	1128.33	2541.99
358.715	1127.99	2437.54
359.059	1127.64	2458.29
359.403	1127.3	2627.12
359.748	1126.95	2624.16
360.092	1126.61	2517.76
360.436	1126.26	2502.05
360.781	1125.92	2541.27
361.125	1125.58	2486.77
361.469	1125.23	2351.92
361.814	1124.89	2555.22
362.158	1124.54	2472.47
362.502	1124.2	2589.54
362.847	1123.85	2805
363.191	1123.51	2704.04
363.535	1123.16	2784.8
363.879	1122.82	2668.73
364.224	1122.48	2690.2
364.568	1122.13	2736.46
364.912	1121.79	2660.58
365.257	1121.44	2659.55
365.601	1121.1	2530.83
365.945	1120.75	2486.18
366.29	1120.41	2429.65
366.634	1120.07	2620.19
366.978	1119.72	2603.35
367.323	1119.38	2489.53
367.667	1119.03	2601.49
368.011	1118.69	2591.84
368.356	1118.34	2412.99
368.7	1118	2589.2
369.044	1117.66	2550.21
369.389	1117.31	2665.38
369.733	1116.97	2501.57
370.077	1116.62	2565.49
370.422	1116.28	2728.74
370.766	1115.93	2624.98
371.11	1115.59	2889.13
371.455	1115.25	2738.23
371.799	1114.9	2621.96
372.143	1114.56	2429.25
372.488	1114.21	2542.02
372.832	1113.87	2610.79
373.176	1113.52	2645.23
373.521	1113.18	2703.45
373.865	1112.84	2587.56
374.209	1112.49	2672.61
374.553	1112.15	2707.97
374.898	1111.8	2607.32
375.242	1111.46	2956.51
375.586	1111.11	2860.68
375.931	1110.77	2779.53
376.275	1110.42	2743.95
376.619	1110.08	2784.83
376.964	1109.74	2927.39
377.308	1109.39	2829.9
377.652	1109.05	2890.19
377.997	1108.7	2888.2
378.341	1108.36	2879.25
378.685	1108.01	2773.73
379.03	1107.67	2663.14
379.374	1107.33	2638.21
379.718	1106.98	2622.38
380.063	1106.64	2574.48
380.407	1106.29	2813.53
380.751	1105.95	2816.58
381.096	1105.6	2861.96
381.44	1105.26	2893.53
381.784	1104.92	3065.43
382.129	1104.57	2750.79
382.473	1104.23	3089.25
382.817	1103.88	3086.39
383.162	1103.54	2901.2
383.506	1103.19	2886.04
383.85	1102.85	2993.96
384.195	1102.51	2914.47
384.539	1102.16	2977.04
384.883	1101.82	3071.36
385.227	1101.47	2945.43
385.572	1101.13	2956.47
385.916	1100.78	3171.5
386.26	1100.44	2965.38
386.605	1100.1	3037.91
386.949	1099.75	3128.17
387.293	1099.41	2862.72
387.638	1099.06	2895.95
387.982	1098.72	3018.08
388.326	1098.37	2991.43
388.671	1098.03	3073.4
389.015	1097.68	2969.13
389.359	1097.34	2756.92
389.704	1097	3043.76
390.048	1096.65	3055.79
390.392	1096.31	3132.17
390.737	1095.96	3144.14
391.081	1095.62	2818.78
391.425	1095.27	3045.77
391.77	1094.93	3275.59
392.114	1094.59	2648.64
392.458	1094.24	2820.69
392.803	1093.9	2819.33
393.147	1093.55	3152.34
393.491	1093.21	3305.16
393.836	1092.86	3187.54
394.18	1092.52	3090.33
394.524	1092.18	2890.63
394.868	1091.83	3098.99
395.213	1091.49	3165.66
395.557	1091.14	3137.17
395.901	1090.8	3125.17
396.246	1090.45	3192.76
396.59	1090.11	3244.91
396.934	1089.77	2930.92
397.279	1089.42	2931.85
397.623	1089.08	3138.54
397.967	1088.73	3227.79
398.312	1088.39	3032
398.656	1088.04	3062.86
399	1087.7	3217.13
399.345	1087.36	3237.65
399.689	1087.01	3175.02
400.033	1086.67	3021.88
400.378	1086.32	3081.3
400.722	1085.98	3050.9
401.066	1085.63	3012.31
401.411	1085.29	3112.62
401.755	1084.95	3521.36
402.099	1084.6	3206.93
402.444	1084.26	3204.46
402.788	1083.91	3268.25
403.132	1083.57	3113.54
403.477	1083.22	3072.85
403.821	1082.88	3254.32
404.165	1082.53	3196.74
404.51	1082.19	3033.12
404.854	1081.85	3321.88
405.198	1081.5	3285.23
405.542	1081.16	3384.05
405.887	1080.81	3287.58
406.231	1080.47	3202.46
406.575	1080.12	3074.38
406.92	1079.78	3300.24
407.264	1079.44	3350.72
407.608	1079.09	3349.31
407.953	1078.75	3182.18
408.297	1078.4	3417.27
408.641	1078.06	3342.26
408.986	1077.71	3358.01
409.33	1077.37	3486.68
409.674	1077.03	3149.18
410.019	1076.68	3335
410.363	1076.34	3311.6
410.707	1075.99	3309.32
411.052	1075.65	3431.08
411.396	1075.3	3134.36
411.74	1074.96	3275.49
412.085	1074.62	3410.1
412.429	1074.27	3255.4
412.773	1073.93	3482.1
413.118	1073.58	3554.07
413.462	1073.24	3334.71
413.806	1072.89	3598.96
414.151	1072.55	3317.32
414.495	1072.21	3229.94
414.839	1071.86	3178.69
415.184	1071.52	3413.19
415.528	1071.17	3536.06
415.872	1070.83	3194.92
416.216	1070.48	3449.92
416.561	1070.14	3258.53
416.905	1069.79	3292.99
417.249	1069.45	3601.44
417.594	1069.11	3547.39
417.938	1068.76	3384.46
418.282	1068.42	3362.73
418.627	1068.07	3180.88
418.971	1067.73	3378.99
419.315	1067.38	3321.57
419.66	1067.04	3216.06
420.004	1066.7	3549.77
420.348	1066.35	3517.98
